lad	ilad	ratio	samples
1122120	2451739	-1.12757843839806	DamID-Hap1_r1_Dam
3089820	608178	2.34495726027123	DamID-Hap1_r1_LMNB1
1970915	4222424	-1.09920589763189	DamID-Hap1_r1_NUP153
2036367	5136992	-1.334926235378	DamID-Hap1_r1_NUP153-Nterm
1715699	4457860	-1.37755483868155	DamID-Hap1_r1_NUP93
9578982	16623124	-0.795247286926531	pADamID-Hap1_r1_Dam
13884641	16671993	-0.263936701542076	pADamID-Hap1_r1_H3K27me3
3415405	4968196	-0.540665426380123	pADamID-Hap1_r1_H3K9me2
15426656	17392817	-0.173066249199574	pADamID-Hap1_r1_H3K9me3
1387672	690712	1.00651040910991	pADamID-Hap1_r1_LMNB1-10m
6485216	3298419	0.975379949663698	pADamID-Hap1_r1_LMNB1
7494771	2574601	1.54153553054774	pADamID-Hap1_r1_LMNB1-500d
1942315	640627	1.60022068392744	pADamID-Hap1_r1_LMNB1-500d-pADam-500d
1465468	708299	1.04893105508525	pADamID-Hap1_r1_LMNB1-BSA
1223979	599415	1.02995171370554	pADamID-Hap1_r1_LMNB1-RT
989873	1908641	-0.947230423508274	pADamID-Hap1_r1_pADam
219511	499480	-1.18613367427678	pADamID-Hap1_r2_2ndrabbit-pADam
4409236	8806382	-0.998020728480346	pADamID-Hap1_r2_CENPA
1589076	859788	0.886135245460084	pADamID-Hap1_r2_LMNB1-rabbit
19202890	6418488	1.58101806272842	pADamID-Hap1_r2_LMNB2
469212	709465	-0.596491603175841	pADamID-Hap1_r2_LMNB2-no2ndrabbit
3746940	4028285	-0.104452881332817	pADamID-Hap1_r2_NUP153
222625	481316	-1.11236877112192	pADamID-Hap1_r2_pADam
530025	1656042	-1.64360694762845	pADamID-Hap1_r2_SC35
3313939	4323461	-0.383639628480574	pADamID-Hap1_r3_H3K27me3
2727714	3488142	-0.354766386343822	pADamID-Hap1_r3_H3K9me3
5497545	2550133	1.10821501669914	pADamID-Hap1_r3_LMNB1
3529082	2260970	0.642351102640537	pADamID-Hap1_r3_neg_Dam_bad-Dam
1569757	2283950	-0.54098982199092	pADamID-Hap1_r4_Dam_semibad-Dam
1764068	1604255	0.137002694222742	pADamID-Hap1_r4_H3K27me3
1903620	1713401	0.151882681468856	pADamID-Hap1_r4_H3K9me3
3382472	827758	2.03079703770573	pADamID-Hap1_r4_LMNB1-100
2872037	752571	1.93217473333724	pADamID-Hap1_r4_LMNB1-500
2801846	551315	2.34542890254412	pADamID-Hap1_r4_LMNB2-100
2957803	640116	2.20812069210635	pADamID-Hap1_r4_LMNB2-500
1933722	1367951	0.499363848003074	pADamID-Hap1_r4_NUP153
742927	1520708	-1.03345079573819	pADamID-Hap1_r4_pADam
1929437	2904882	-0.59029962296082	pADamID-Hap1_r5_Dam
6479494	1844109	1.81295722196239	pADamID-Hap1_r5_LMNB1
5222964	1325279	1.97857264949422	pADamID-Hap1_r5_LMNB2
1042261	2203096	-1.0798157635062	pADamID-Hap1_r5_pADam
1295412	2482248	-0.938236247911378	pADamID-Hap1_r6_Dam
4100352	1019927	2.0072818682636	pADamID-Hap1_r6_LMNB2
2281381	2551316	-0.161334196052313	pADamID-Hap1_r6_Mab414
2798786	2941430	-0.0717165232980507	pADamID-Hap1_r6_NUP153
1768195	3398613	-0.942668704842764	pADamID-Hap1_r6_NUP214
872405	1909467	-1.13010004346477	pADamID-Hap1_r6_NUP62
776199	1443278	-0.89485073473688	pADamID-Hap1_r6_pADam
1791887	3305861	-0.883546404566366	pADamID-Hap1_r7_Dam
5276944	1256861	2.06987756679931	pADamID-Hap1_r7_LMNB2
2199352	2268516	-0.0446703132632005	pADamID-Hap1_r7_Mab414
1996816	1789162	0.158417376932886	pADamID-Hap1_r7_NUP153
521129	1134669	-1.12255905726341	pADamID-Hap1_r7_NUP214
794767	1321358	-0.733417517867542	pADamID-Hap1_r7_NUP62
836270	1248629	-0.578304164200476	pADamID-Hap1_r7_pADam
1002978	2814671	-1.48867633782494	pADamID-Hap1_r7_pADam-act
1652798	2764225	-0.741964638195281	pADamID-Hap1_r8_Dam
