enrichment	samples
1.06501812339111	LMNB1_rabbit
1.4801759758909	LMNB2
-0.419731249419283	LMNB2_noRabbitaMouse
0.328421856972862	noPADam
-0.194117957421089	NUP153
-0.669560459386174	pADam
-0.52375898722399	RabbitaMouse
1.13910207797541	sample_1
0.847439078520602	sample_10
-0.317716113881156	sample_11
-0.40743631347517	sample_12
-0.264095068851162	sample_13
-0.106417941513094	sample_14
1.47494444388776	sample_15
1.44119319061448	sample_16
-0.753782450681246	sample_2
0.536486684770931	sample_3
0.786168189105251	sample_5-1
1.11363892977735	sample_5-2
1.12005274579364	sample_5-3
0.787442716514873	sample_5-4
0.853356165052634	sample_6
0.67480625461788	sample_7
0.833836106269361	sample_8
0.682100465311164	sample_9
0.0753551483113529	Dam
-0.0641738133692692	H3K27me3
0.518036439452976	H3K9me3
1.58719917027964	L1-100
1.23381415923268	L1-500
2.32871066655658	L2-100
1.64737683321496	L2-500
-0.0210804275834083	NUP153
-0.438178076245599	pA-Dam
